日期,rsi,k,d,wr,cci,adx,acc_5,acc_10,acc_20,acc_60,acc_120,vpt,beta,y_10,y_20,y_40,y_60
2007-03-05,35.87657891801719,28.02680220510635,39.36692234530475,-100.0,-252.8979111503378,21.53789824440017,1.0601326289760593,1.0753541076487252,1.1215648625945036,0.8936170212765957,1.00839174647053,0.0,0.889133,1,1,1,1
2007-03-06,37.64086698219404,26.49208999013644,37.28981920581133,-92.2974767596281,-202.2855409197787,23.042134282530107,1.0759753593429158,1.0394542353610006,1.1003468484631025,0.9104720564297342,0.9930761622156282,0.0,0.888904,1,1,1,1
2007-03-07,38.26458228656526,25.67076535958065,35.412941759290696,-90.30544488711814,-143.35701598578996,24.009238013310867,1.0612431444241317,1.0311010215664018,1.085161594715735,0.9051816813588476,1.0058271604938271,0.0,0.91242,1,1,1,1
2007-03-08,43.42668288690043,25.281542110732065,33.655605235916056,-73.04116865869854,-82.0096977200036,23.966593869114803,1.027359017308766,1.0257835074460993,1.0787401574803148,0.8761904761904763,0.9916782246879334,0.0,0.960602,0,0,1,1
2007-03-09,41.01097476300289,23.4887134254731,31.884828787453195,-84.59495351925626,-71.70690555577862,23.545487170878367,1.0,1.0339513066785797,1.092366678285117,0.8789179905538858,1.0495439469320067,0.0,0.963429,0,0,1,1
2007-03-12,43.22719683679385,20.923583872761963,29.75841226969849,-76.89243027888445,-54.57802598528558,23.15445952251596,0.9199069458291792,1.0482329406534785,1.0451555357341955,0.890237295481634,1.025117248566962,0.0,0.961157,0,0,1,1
2007-03-13,41.58270694367951,17.588201996013645,27.36663814255591,-84.59495351925626,-62.49305110113281,23.15452751564246,0.9354443081725946,1.0448654037886338,1.0577157416638971,0.909577433381648,0.9877474081055606,0.0,0.963971,0,0,1,1
2007-03-14,35.545426230283766,14.040707139475682,24.88623645131624,-95.35637149028078,-123.2513265798361,24.41992257600068,0.9732978846376142,1.0507976015386356,1.1228070175438598,0.9461841800046392,0.9752747252747253,0.0,1.050271,1,1,1,1
2007-03-15,38.85050653485756,12.347690011675938,22.58961149059243,-85.50724637681162,-96.52620638455836,25.594932274904743,0.998389694041868,1.030696840690119,1.1078757308265506,0.96092007980284,0.930628547403826,0.0,1.063526,1,1,1,1
2007-03-16,41.982108873799525,14.420007796685496,20.82801039076417,-73.20987654320986,-69.01078685508807,25.992396526496872,0.9865460450011598,1.0015787099684257,1.0657116871305137,0.9191042047531992,0.9460829969988616,0.0,1.029517,1,1,1,1
2007-03-19,43.99484518933598,17.815069525080556,19.80683712276159,-66.0493827160494,-33.942434014092726,25.47788020567975,1.027529495888452,0.9243098842386464,1.0824683472111327,0.8960951526032316,0.9470057756611612,0.0,1.028928,0,1,1,1
2007-03-20,50.72683620587956,23.11889127511744,19.46951725125969,-39.259259259259245,82.47210164317866,23.73651455122827,0.9832389319153856,0.9294339204608396,1.004615384615385,0.9440389294403893,0.904893449092344,0.0,1.016189,0,0,1,1
2007-03-21,49.0674271106363,27.50746045518728,19.65318676082036,-46.41975308641981,120.05000781372152,22.411974983055234,0.9309944237918216,0.941834451901566,1.00464499004645,0.930429927414852,0.9021082846679204,0.0,1.021955,0,0,1,1
2007-03-22,49.0674271106363,30.169602012415147,20.14199275098866,-46.41975308641981,114.71618209951984,21.078577919271247,0.9370565346761272,0.9630533673582604,1.0111744084136722,0.9395579612088406,0.8915037893897089,0.0,1.025531,0,0,1,1
