Date,Model_CumRet,Benchmark_CumRet,Model_CumRet_Pct,Benchmark_CumRet_Pct
2024-05-29,0.27652531765425903,0.21767935008474382,27.652531765425902,21.76793500847438
2024-05-30,0.26235632997380565,0.20097273124459303,26.235632997380563,20.097273124459303
2024-05-31,0.24800842965885406,0.19030767115518987,24.800842965885405,19.030767115518987
2024-06-03,0.2708192297089511,0.21075384462238977,27.08192297089511,21.07538446223898
2024-06-04,0.2607490662683005,0.20067123809979348,26.074906626830053,20.06712380997935
2024-06-05,0.27098995481534116,0.20799778142630765,27.098995481534118,20.799778142630764
2024-06-06,0.30342601502732114,0.23155037391647748,30.342601502732116,23.15503739164775
2024-06-07,0.29359668064535893,0.2290835881946729,29.359668064535892,22.90835881946729
2024-06-11,0.295872010500442,0.2255145331391657,29.5872010500442,22.551453313916568
2024-06-12,0.3160492605043874,0.2400561193101951,31.604926050438742,24.00561193101951
2024-06-13,0.3341234927146888,0.25661770955138175,33.41234927146888,25.661770955138174
2024-06-14,0.3418104199143468,0.26749329502637753,34.18104199143468,26.749329502637753
2024-06-17,0.34044668369483677,0.26705612996641803,34.044668369483674,26.705612996641804
2024-06-18,0.3577244929649741,0.28236522411726916,35.77244929649741,28.236522411726916
2024-06-19,0.39185725334991117,0.3078923367979929,39.18572533499112,30.78923367979929
2024-06-20,0.399312947664233,0.3196100238153601,39.9312947664233,31.96100238153601
2024-06-21,0.3892778284552252,0.3111118157502626,38.927782845522515,31.111181575026258
2024-06-24,0.36283444045281943,0.28669814844222996,36.28344404528194,28.669814844222998
2024-06-25,0.3666327864221026,0.29045641643688724,36.66327864221026,29.045641643688725
2024-06-26,0.37543217989513455,0.2968574277904432,37.54321798951346,29.685742779044322
2024-06-27,0.37387302672470346,0.2935402234739972,37.38730267247035,29.35402234739972
2024-06-28,0.3805958111175962,0.30081036678980344,38.05958111175962,30.081036678980343
2024-07-01,0.38523526654142026,0.3036724724023321,38.523526654142024,30.36724724023321
2024-07-02,0.37753095745851906,0.29570889485348695,37.75309574585191,29.570889485348694
2024-07-03,0.39500076304716747,0.3125865330809461,39.50007630471675,31.25865330809461
2024-07-04,0.4184778861502083,0.334341082833423,41.84778861502083,33.4341082833423
2024-07-05,0.4189118386492272,0.33632859841814944,41.89118386492272,33.63285984181494
2024-07-08,0.42442757267760456,0.3550500231707887,42.442757267760456,35.50500231707887
2024-07-09,0.42716003944657666,0.3569660640875669,42.716003944657665,35.69660640875669
2024-07-10,0.4294688281183596,0.3639734405332069,42.94688281183596,36.397344053320694
2024-07-11,0.4332401816859843,0.3861056364403337,43.324018168598435,38.61056364403337
2024-07-12,0.4318227335836555,0.35938268758786607,43.18227335836555,35.938268758786606
2024-07-15,0.4306574576976949,0.35797606612264565,43.06574576976949,35.797606612264566
2024-07-16,0.4315734914427274,0.365282336634251,43.157349144272736,36.528233663425105
2024-07-17,0.43112448473739473,0.35270591396997153,43.11244847373948,35.270591396997155
2024-07-18,0.4318311324254298,0.33245441150747435,43.18311324254298,33.24544115074743
