date,DTE,DRL Ensemble,Dynamic Stock Recommendation,MACE,^NDX
2025-05-12,45.667763,25.439062,47.997898,12.066563,26.137734
2025-05-13,46.585968,26.609887,48.917174,13.997525,28.129695
2025-05-14,47.717005,26.998191,47.574338,14.344364,28.864174
2025-05-15,47.325013,27.815872,48.687863,14.526285,28.964570
2025-05-16,47.898680,28.408837,49.234993,14.853469,29.521385
2025-05-19,48.055213,28.445693,49.904259,14.467683,29.636903
2025-05-20,47.138074,28.756316,50.011720,14.617981,29.155267
2025-05-21,46.501867,27.248316,46.616234,13.132249,27.420434
2025-05-22,46.962151,26.888262,45.448535,12.932277,27.614531
2025-05-23,45.347837,25.934054,43.946336,13.492547,26.424908
2025-05-27,48.281750,28.908917,46.920241,16.855410,29.443113
2025-05-28,47.714269,27.917222,46.147622,16.084332,28.857882
2025-05-29,47.726637,27.755075,46.196425,16.053840,29.134595
2025-05-30,47.610814,26.744606,45.636482,13.875976,28.995819
2025-06-02,47.448325,27.643615,46.561822,14.674915,29.907088
2025-06-03,47.356529,28.217954,49.103052,15.918845,30.939672
2025-06-04,47.977291,28.274496,49.988348,16.069444,31.298352
2025-06-05,48.182425,27.794597,49.296565,16.279007,30.243644
2025-06-06,50.034527,27.599403,50.921369,17.245192,31.539342
2025-06-09,51.262450,27.561625,52.517572,18.552765,31.757428
2025-06-10,52.023257,28.169327,54.062074,19.898210,32.628144
2025-06-11,51.433916,27.881200,52.833301,20.035285,32.137819
2025-06-12,51.523197,27.687328,52.941780,20.345529,32.455274
2025-06-13,50.548226,26.185240,50.555379,18.439432,30.749022
2025-06-16,52.023499,28.014460,52.704387,21.163776,32.601853
2025-06-17,51.438177,26.010811,51.245825,20.374724,31.281187
2025-06-18,51.214485,26.177002,51.741333,19.498161,31.284870
2025-06-20,50.244082,26.082185,51.894167,19.231143,30.720925
2025-06-23,50.674285,27.763733,53.161859,20.419140,32.110796
2025-06-24,52.051469,30.121365,55.514387,22.947164,34.130807
2025-06-25,52.558444,29.903160,55.482010,23.070817,34.416233
2025-06-26,53.623536,30.804271,56.178250,23.860686,35.682853
2025-06-27,54.539108,31.211569,56.705117,23.742455,36.208182
2025-06-30,54.225033,32.663642,58.062305,24.768119,37.083491
